"","AA9","AA14","AA18","AA23","AA29","NAA11","NAA12","NAA13","NAA16","NAA19"
"DLX4",9.31890912376878,9.58390388724527,8.67449149760867,9.93682610414226,9.1440182346905,10.1260449290602,11.4260711381141,10.74367396546,11.0154741081407,10.9441391870275
"DMBT1",5.53932740549319,6.77092341729764,5.54349031118236,6.30364268148276,4.70618889772177,6.64095111152171,7.11695100957143,5.99245006916558,8.20415437084608,6.87011562122495
"RCAN1",8.90263057339925,8.56485674722129,8.20764394284195,9.16258209574441,8.14457351920538,8.94221411028732,9.44053295813572,9.69204316891541,10.8685459044548,9.61840989440388
"AGTR1",9.00304603928405,9.00728534106233,7.89535848628755,8.4269918654476,10.0730525769495,8.33202111990356,7.62413599633105,7.13224630059184,6.47271113230898,8.56198555651853
"ABCA1",10.0179396131785,9.27421243653551,10.0334323806091,9.80439092216228,9.84174961564828,9.2254030280745,8.85628163937946,7.84307058983431,7.16992274491457,9.06061509874116
"AHR",11.1260463239897,10.666784370445,11.0879473243862,10.6180758551715,10.8367414461134,10.5662671823822,9.81213652759763,9.85667865960814,8.5870042933279,10.2252699328727
"SLC5A9",8.32350409463237,8.77824722275323,8.04526449663955,9.36760166877989,6.30054753424507,9.01581889338705,9.49404751396392,9.23669526978581,10.2328366491828,9.48364103943621
"ELF5",6.55077408998582,7.1695524514181,6.39902828680251,7.42572619493627,7.2414469106485,7.64446762591516,9.3636122776783,7.33884754256266,8.14059297871756,8.62987628599871
"SLC10A4",5.07246424776253,5.4313856119856,5.24939146264524,5.63790008175212,5.0921528286578,5.80880893994001,7.6676862670836,6.37295890046073,6.13039911304623,6.56867998715326
"EPHA3",9.28052410376865,8.72918165795469,9.21813873346084,9.16118289967946,9.9353834613641,8.54526398752366,8.23075974572995,7.6354729788187,6.69798020763471,8.60549045901866
"SLC44A5",9.17783294330774,9.82856912372644,10.4846011348906,8.15807214514785,8.38460085929063,5.12951361478582,9.9161522432972,5.15546362199896,7.25878714168046,7.86494323603871
"ETV6",9.35505269544277,8.75198537943431,9.7064349508051,9.89590080515132,10.5309724529589,8.88839238114018,8.60791654511959,8.24323913326707,7.00931370271017,9.51232533675409
"EVI2A",8.05066323948759,7.55021339198162,8.12603490008993,7.36847151463208,7.52898290500539,7.41508265194009,6.10577114270041,5.82709740032212,5.90201417364188,7.0212897109009
"EVI2B",8.4239883818152,7.92858012049253,8.51246168446826,8.35131355230385,8.40810038209719,7.83059945816012,6.45632265163761,6.86820601305606,6.0655065082585,7.42294909012169
"SAMD9L",9.35388938281728,8.51549137024485,8.80284566705236,8.73262445535757,8.67965815228666,8.14916146862731,7.27186414388809,7.53039052338995,7.30857525540835,7.97260498612826
"UNC5B",9.32126821639353,10.7520047863644,10.0310412374113,10.7744565361239,9.370722581079,10.7334219460338,11.30962700822,11.3754453085951,11.4874003657939,10.9805769027842
"RTKN2",6.95068258531861,7.28433486150829,6.89059161462115,6.6425341193794,5.51118138375882,7.44411467776872,8.28158719144297,6.79793173141629,8.66317312881998,7.60480594570035
"FCER1A",11.9029722454577,10.5234341414357,11.5898598958237,11.1763090851467,11.8017882733247,11.0734252868667,10.3080371883518,10.2604902861719,9.23142457388219,11.096381615073
"FCER1G",10.129922953938,9.89965085029379,9.74088816398167,9.08965496941626,9.72687333099775,8.84607899254571,8.11408515307598,8.0515280111936,7.51841243312799,8.89860140265014
"FCGR2A",10.610160631761,10.962582836729,11.0082779236304,10.6238183227369,11.0514025127165,10.0740123083552,9.48504495708783,9.22976978593204,8.44261551087382,9.80394500125467
"FCGR2B",9.94569672916142,8.79693383866028,9.18844567862046,9.15682524354776,9.8655301731582,8.57503787613846,7.98897228333576,8.45754444769284,7.6476981286349,8.59464975239683
"RNF182",7.53055120116678,8.71577482008069,6.76554302331862,8.22283725200603,6.98836580895574,9.38424078801678,10.6858941744049,9.30490998739922,10.1628106260032,9.88165698681459
"FGF5",6.99774955847163,8.12784288769944,6.780905721652,7.74883763242141,6.19845566888985,7.60071909459628,10.0882356968371,7.59510204972919,8.22169072812553,8.87639455033998
"FGG",5.69967383115331,7.10529164211576,5.64620050608895,7.47347312525421,5.49918270086662,7.27039194670283,9.72840479179301,6.8273544728033,6.6788077503611,9.25466627624203
"NLGN4Y",4.39824379955119,4.52775717576932,4.28905816038494,4.5466579503724,4.48571691405504,5.87602306787071,4.48579465410549,6.53134960041658,6.26067700065973,6.10338794234883
"ZNF652",8.57465026065788,8.59558504313822,8.87065749784751,9.23982774820669,10.0486446715127,8.44566699775481,7.91070702953776,7.75812153566828,7.05827226740037,8.53424531448212
"FRMPD1",8.04077563980886,8.49050996871653,8.06257378481059,8.17142773276933,7.32901078564655,8.60040150821258,9.9311906768913,8.76427521697302,9.53098842938043,8.97225534985088
"FOXD1",6.99772436134588,7.04552045830943,7.31144742543005,7.11591323651831,6.96787820794039,6.21834304356217,6.79325513235977,5.42298918135256,5.42657813625062,6.15991756291823
"FLNB",9.97087992393312,10.441861416913,9.98219877033817,10.4299711601981,9.46164289560704,10.7537245471568,11.1266216097909,11.2766565162849,12.0423359535159,10.6741787909768
"ATG4B",8.53595969405046,8.96389856653744,8.41355113056805,8.9901295571565,8.33255957704063,9.13461861938666,10.2397786984908,9.61526126736434,10.4743644354481,9.74247421072035
"TBC1D30",6.43732909268494,6.10202167377721,6.41853238461505,6.70949629877129,6.97342972431978,7.4261230996739,8.15163698013145,7.20077140016679,8.14509248102759,7.35831668720487
"NCS1",6.97450309137765,8.60653378467438,6.83659788705265,9.19238916925156,7.0378546390577,8.98681283453067,9.91369978685016,9.30282228296295,9.15900291512393,9.91729446162724
"SLC7A8",8.40131628579454,10.2219311228965,9.12773497572959,9.70060959444471,8.89799617885688,10.3351499626862,11.3665593845543,10.7220401149152,11.2364610410482,10.5468854632991
"SEC14L2",6.69424292270354,8.3892730060492,7.37961873474643,7.71017194046175,6.97788061732424,7.95787444667051,8.60378884216579,8.42284045595481,8.56337370738677,8.69987581815385
"FPR3",8.03521931095837,7.86673269710953,8.0768667753364,7.2326073352258,7.85117887653979,6.98065377543497,6.05056098252344,6.40480038475064,6.110241381669,6.86186617610428
"SSBP2",8.20002709166012,7.91529982353395,8.31921902043465,8.01253926408984,8.46667972104299,7.39428164664099,7.12831792057587,6.97125175677716,6.4310826235658,6.58060136300176
