"","AA9","AA14","AA18","AA23","AA29","NAA11","NAA12","NAA13","NAA16","NAA19"
"204639_at",9.31200937202377,8.30236826528677,8.59229364911533,8.00439065174789,8.65063797242299,8.71060085364645,7.90010139506716,8.29732041262758,8.83002348333507,8.10153765342063
"222880_at",8.01900821069177,8.61423041629708,8.26185367917577,8.87062590942781,10.0043094281722,8.68263834816563,8.14814471549114,7.8312887415607,7.2404868545388,9.08713552217471
"207078_at",8.80474683165676,8.44004355882654,9.04468725983532,9.08121857665844,9.3393979622703,9.51751052119934,8.92639890922154,8.83292063654196,9.42061852811906,8.41576339840062
"222161_at",9.92169900078079,8.82313749754099,9.06806765865061,9.0670269529229,9.78719999094865,8.6563275496576,8.23591238782648,8.07187504159661,8.83371182802857,7.95573361396261
"236514_at",7.1907399994834,8.087634059784,8.0105660369192,7.67429501720281,7.11279362995806,7.79050593095869,7.81348838070252,7.73066668526322,7.95119645631945,7.84598596828169
"209027_s_at",10.4354265409536,10.6586191297112,10.4664585450887,10.5204072555352,10.2856010108233,10.2502919451818,10.3763899869273,9.83752556769825,9.21164020401993,10.5805543785216
"207616_s_at",10.7628933210166,11.1328485975876,11.0598518491394,11.1110133647765,10.9482270048436,10.7524533640273,10.7211001434866,9.7034064179837,8.53212076952948,11.0438052464965
"239153_at",9.61888741987481,5.88271727685737,6.77822343411867,6.36815922499552,7.64024937583806,8.22415035371171,7.69205090594417,7.86163216559158,7.8443323290232,8.05166168602917
"243957_at",7.91160459260573,7.23139244510195,8.02833838948653,8.08926843851295,8.67594644658542,8.50038178004884,7.64908404611226,7.56590935303803,6.80466758300392,7.76526143151161
"1558920_at",5.23869951280825,6.17843313678496,6.90155717089774,5.27549169542672,5.81000649319379,6.14685008767617,5.29958282836657,5.6014778868911,5.61456237053225,5.13652979261777
"239799_at",7.33843013852218,6.65241172962778,8.03810540609233,7.47346645638478,8.12834228365773,7.58064078768598,6.9673253423923,7.94091957802479,7.39724920356293,7.10490102354335
"236118_at",7.73661901409095,8.11332190057656,8.28964808650572,8.2179415361379,6.96200061567079,8.38366550304693,8.11118102119109,8.2045889565098,7.71444131061396,7.437007973776
"1557558_s_at",6.95148661683876,6.36440298252565,6.61173070655833,6.71601976298893,5.92128614239997,6.23282138239626,6.13625170251793,6.5485690713259,6.41194088369827,5.92043366748936
"216701_at",9.55896542066538,10.2360773578877,9.69473972590764,9.25677447921855,10.7808552852274,9.82061456198104,10.1804524110456,10.9564130090656,10.6981873388927,10.5650629131417
"235172_at",5.16052862940394,5.39401305753502,5.41572387031665,5.69784668036477,5.29266215335756,6.83229605090341,7.05419156038283,5.70212391550947,5.76729912891765,7.20823885869862
"215358_x_at",9.59053421067839,8.2030038628717,9.04735660144377,8.83359639069169,8.09277615532761,8.76553912570652,8.43829128384103,8.73641066816359,9.56240499452118,8.39423477320743
"231540_at",8.19114346048144,7.2968266616672,8.34680526140322,8.30638754062011,8.20985645435644,8.28960333136098,7.60062334614419,7.6193252129397,7.61366488142998,7.92574640108776
"235990_at",7.42369368269815,7.27872547888101,7.01385542716467,7.1181039990092,8.32661380158674,7.39305750871035,7.81515879666134,8.40387093633848,8.30471894452071,7.522621815279
